Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,1.35,42.41,17.8,31.41,8.38
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,2.02,40.94,18.37,32.55,8.14
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,2.7,39.57,18.76,33.76,7.91
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,4.04,38.58,20.17,33.49,7.76
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,700,0.22,2.7,45.95,22.16,22.7,9.19
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,750,0.22,2.7,40.64,20.86,29.95,8.56
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,2.7,39.57,18.76,33.76,7.91
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,850,0.22,2.7,35.24,19.43,37.57,7.75
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,900,0.22,2.7,33.59,19.85,40.2,6.36
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.1,0,47.36,15.42,24.01,13.22
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.2,0,44.53,22.27,21.26,11.94
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.3,0,42.11,28.42,18.95,10.53
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.4,0,41.08,34.59,15.14,9.19
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.5,0,38.1,41.67,13.1,7.14
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,750,0.2,0,43.53,27.06,15.29,14.12
